t,t_sec,p_base_x,p_base_y,p_base_z,q_base_x,q_base_y,q_base_z,q_base_w,v_base_x,v_base_y,v_base_z,joint_pos_0,joint_pos_1,joint_pos_2,joint_pos_3,joint_pos_4,joint_pos_5,joint_pos_6,joint_pos_7,joint_pos_8,joint_pos_9,joint_pos_10,joint_pos_11
2.300000000000000000e+01,1.150000000000000050e-01,-1.317335098539461180e+00,-3.231912105754348730e-01,6.001784353855316168e-01,9.610641306952017035e-04,6.690982862165623449e-03,-8.604130202619855172e-01,5.139846667944558689e-01,3.046086349161772899e-01,6.404847040330570174e-01,5.768713596501470059e-02,-8.146319999999999950e-02,7.344079999999999497e-01,-1.406970000000000054e+00,9.690630000000000077e-02,6.484760000000000524e-01,-1.801940000000000097e+00,-1.595630000000000104e-01,7.516650000000000276e-01,-1.847029999999999950e+00,5.606400000000000272e-02,7.503819999999999935e-01,-1.355159999999999920e+00
2.400000000000000000e+01,1.199999999999999956e-01,-1.315810916039265255e+00,-3.199877811499225455e-01,6.004398009378471013e-01,1.043676129307078608e-03,6.897687708002087081e-03,-8.605096130421482359e-01,5.138200410051725342e-01,3.050648417884202490e-01,6.408842430952979008e-01,4.685911350668661712e-02,-8.079949999999999632e-02,7.288329999999999531e-01,-1.406539999999999901e+00,9.606549999999999812e-02,6.766180000000000527e-01,-1.813809999999999922e+00,-1.589000000000000135e-01,7.751179999999999737e-01,-1.858230000000000048e+00,5.588710000000000205e-02,7.446300000000000141e-01,-1.354989999999999917e+00
2.500000000000000000e+01,1.250000000000000000e-01,-1.314288669506843865e+00,-3.167713179339608498e-01,6.006672291573822431e-01,1.061435951855780506e-03,7.044361438521471591e-03,-8.606179004080466433e-01,5.136366184911020927e-01,3.038350476100320496e-01,6.456990577793507713e-01,4.411241923786273639e-02,-7.987020000000000231e-02,7.203370000000000051e-01,-1.405790000000000095e+00,9.495929999999999649e-02,7.190539999999999710e-01,-1.828770000000000007e+00,-1.577050000000000118e-01,8.105170000000000430e-01,-1.871899999999999897e+00,5.588710000000000205e-02,7.363110000000000488e-01,-1.354729999999999990e+00
2.600000000000000000e+01,1.300000000000000044e-01,-1.312766841287684505e+00,-3.135451636209998783e-01,6.008597154961746734e-01,1.133678986248103093e-03,7.114086293032268089e-03,-8.607119096305932970e-01,5.134779539574350071e-01,3.048958537688423731e-01,6.447613905555309444e-01,3.288210011739770705e-02,-7.916230000000000488e-02,7.108229999999999826e-01,-1.404840000000000089e+00,9.349910000000000165e-02,7.678160000000000540e-01,-1.841380000000000017e+00,-1.557139999999999913e-01,8.524209999999999843e-01,-1.883690000000000087e+00,5.579850000000000088e-02,7.268409999999999593e-01,-1.354540000000000077e+00
2.700000000000000000e+01,1.350000000000000089e-01,-1.311250468630757560e+00,-3.103126665571784848e-01,6.010001989995854554e-01,1.239255280876651669e-03,7.215565710078283672e-03,-8.607932861081508680e-01,5.133398625482424871e-01,3.016528858340778996e-01,6.482357581104579713e-01,2.331142715767873380e-02,-7.867549999999999544e-02,7.052920000000000300e-01,-1.404439999999999911e+00,9.256979999999999376e-02,7.969770000000000465e-01,-1.845630000000000104e+00,-1.543420000000000070e-01,8.769360000000000488e-01,-1.888849999999999918e+00,5.540029999999999955e-02,7.213100000000000067e-01,-1.354510000000000103e+00
2.800000000000000000e+01,1.400000000000000133e-01,-1.309744555351512574e+00,-3.070600550918421989e-01,6.010818285808132710e-01,1.400064637552222296e-03,7.265740364834340388e-03,-8.608674616383377165e-01,5.132143395896218152e-01,3.007113307710098105e-01,6.528074154580569832e-01,9.340564225035376603e-03,-7.779049999999999854e-02,6.973270000000000302e-01,-1.404009999999999980e+00,9.186189999999999634e-02,8.400760000000000449e-01,-1.848379999999999912e+00,-1.515100000000000058e-01,9.110519999999999730e-01,-1.894169999999999909e+00,5.442679999999999740e-02,7.125050000000000550e-01,-1.354249999999999954e+00
2.900000000000000000e+01,1.449999999999999900e-01,-1.308225380605755328e+00,-3.037931535925176285e-01,6.011108020176288980e-01,1.538931216765406732e-03,7.252262936906260678e-03,-8.609220736986448186e-01,5.131225150229858922e-01,3.069568390462923957e-01,6.539521366068029584e-01,2.249098065056433487e-03,-7.734800000000000009e-02,6.924599999999999644e-01,-1.403869999999999951e+00,9.071139999999999759e-02,8.674220000000000264e-01,-1.848740000000000050e+00,-1.489880000000000093e-01,9.336630000000000207e-01,-1.895960000000000090e+00,5.407279999999999726e-02,7.072389999999999510e-01,-1.354079999999999950e+00
3.000000000000000000e+01,1.499999999999999944e-01,-1.306683455374095360e+00,-3.005176540001567309e-01,6.011054004445710586e-01,1.643713555332472270e-03,7.246667976590442234e-03,-8.609812199256494658e-01,5.130230199283563053e-01,3.098120269783472547e-01,6.562469090034290797e-01,-4.409598383592033821e-03,-7.708249999999999824e-02,6.841850000000000431e-01,-1.403780000000000028e+00,8.889710000000000667e-02,9.075119999999999854e-01,-1.847390000000000088e+00,-1.454479999999999940e-01,9.672929999999999584e-01,-1.895659999999999901e+00,5.389580000000000065e-02,6.993629999999999569e-01,-1.353939999999999921e+00
3.100000000000000000e+01,1.549999999999999989e-01,-1.305133469577984595e+00,-2.972317086146432641e-01,6.010674209146930069e-01,1.830036248456514856e-03,7.272341368873484584e-03,-8.609996668580905954e-01,5.129910659267722384e-01,3.101802123643899178e-01,6.581295739619572593e-01,-1.078211794554285313e-02,-7.690550000000000164e-02,6.783879999999999910e-01,-1.403720000000000079e+00,8.801209999999999589e-02,9.326010000000000133e-01,-1.845660000000000078e+00,-1.432350000000000012e-01,9.885770000000000390e-01,-1.893909999999999982e+00,5.363029999999999881e-02,6.939640000000000253e-01,-1.353939999999999921e+00
3.200000000000000000e+01,1.600000000000000033e-01,-1.303569747202152351e+00,-2.939356625921156763e-01,6.009985437288555277e-01,2.016665795861037613e-03,7.314900320793916652e-03,-8.610436615497607526e-01,5.129159134102106998e-01,3.153068055976823714e-01,6.602867937869696391e-01,-1.676842214782315113e-02,-7.659580000000000555e-02,6.701580000000000314e-01,-1.403639999999999999e+00,8.562269999999999603e-02,9.677350000000000119e-01,-1.841709999999999958e+00,-1.385889999999999900e-01,1.017379999999999951e+00,-1.889010000000000078e+00,5.340910000000000102e-02,6.855569999999999720e-01,-1.353879999999999972e+00
